"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.675842280E-1,-2.746261597E0,2.682098389E0,7.330444336E0
3.700561520E-1,-2.660659790E0,2.735977173E0,7.352584839E0
3.725585930E-1,-2.579864502E0,2.805999756E0,7.272979736E0
3.750305170E-1,-2.545745850E0,2.914337158E0,7.295135498E0
3.775024410E-1,-2.452362061E0,3.008911133E0,7.334030151E0
3.800048820E-1,-2.372161865E0,3.122039795E0,7.308288574E0
3.824768060E-1,-2.268020630E0,3.187286377E0,7.361572266E0
3.849487300E-1,-2.165069580E0,3.254913330E0,7.325653076E0
3.874511720E-1,-2.102218628E0,3.330932617E0,7.324462891E0
3.899230950E-1,-2.034576416E0,3.435089111E0,7.405853271E0
3.924255370E-1,-1.965744019E0,3.452438354E0,7.374130249E0
3.948974610E-1,-1.923843384E0,3.545211792E0,7.408859253E0
3.973693840E-1,-1.904098511E0,3.581726074E0,7.492050171E0
3.998718260E-1,-1.865783691E0,3.620635986E0,7.450149536E0
4.023437500E-1,-1.869979858E0,3.611053467E0,7.541732788E0
4.048156730E-1,-1.864593506E0,3.594299316E0,7.595596313E0
4.073181150E-1,-1.890335083E0,3.591308594E0,7.696762085E0
4.097900390E-1,-1.916061401E0,3.578140259E0,7.793121338E0
4.122924800E-1,-1.904098511E0,3.531448364E0,7.888885498E0
4.147644040E-1,-1.923843384E0,3.450042725E0,7.939773560E0
4.172363280E-1,-1.893325806E0,3.398574829E0,8.034942627E0
4.197387690E-1,-1.883148193E0,3.309982300E0,8.091796875E0
4.222106930E-1,-1.852020264E0,3.238754272E0,8.138488770E0
4.246826170E-1,-1.872375488E0,3.164535522E0,8.193557739E0
4.271850580E-1,-1.872375488E0,3.115463257E0,8.198944092E0
4.296569820E-1,-1.858612061E0,3.026870728E0,8.276748657E0
4.321594230E-1,-1.850219727E0,3.023880005E0,8.376113892E0
4.346313470E-1,-1.799942017E0,2.986175537E0,8.437164307E0
4.371032710E-1,-1.724533081E0,2.938278198E0,8.442550659E0
4.396057130E-1,-1.683822632E0,2.988555908E0,8.402450562E0
4.420776360E-1,-1.683822632E0,3.045425415E0,8.389877319E0
4.445495600E-1,-1.631164551E0,3.063385010E0,8.408432007E0
4.470520020E-1,-1.615600586E0,3.108871460E0,8.431777954E0
4.495239250E-1,-1.625762939E0,3.190872192E0,8.437164307E0
4.520263670E-1,-1.613800049E0,3.229187012E0,8.385086060E0
4.544982910E-1,-1.612594604E0,3.250732422E0,8.330627441E0
4.569702150E-1,-1.677246094E0,3.323150635E0,8.381500244E0
4.594726560E-1,-1.735305786E0,3.363250732E0,8.368331909E0
4.619445800E-1,-1.736495972E0,3.339309692E0,8.391067505E0
4.644165040E-1,-1.784988403E0,3.335723877E0,8.432373047E0
4.669189450E-1,-1.798156738E0,3.309387207E0,8.526947021E0
4.693908690E-1,-1.843643188E0,3.279464722E0,8.519760132E0
4.718933100E-1,-1.890930176E0,3.278854370E0,8.516174316E0
4.743652340E-1,-1.939407349E0,3.220794678E0,8.542510986E0
4.768676750E-1,-1.961563110E0,3.235168457E0,8.567047119E0
4.793395990E-1,-2.014831543E0,3.183090210E0,8.494628906E0
4.818115230E-1,-2.060913086E0,3.131622314E0,8.567642212E0
4.842834470E-1,-2.045959473E0,3.152572632E0,8.568847656E0
4.867858880E-1,-2.074676514E0,3.171722412E0,8.585601807E0
4.892578120E-1,-2.099822998E0,3.234573364E0,8.550292969E0
4.917602540E-1,-2.141723633E0,3.158554077E0,8.503601074E0
4.942321770E-1,-2.166259766E0,3.117248535E0,8.505401611E0
4.967041010E-1,-2.195587158E0,3.107070923E0,8.460510254E0
4.992065430E-1,-2.270416260E0,3.063980103E0,8.421600342E0
5.016784660E-1,-2.317092896E0,2.983779907E0,8.385681152E0
5.041503900E-1,-2.421844482E0,2.869445801E0,8.325836182E0
5.066528320E-1,-2.511032104E0,2.780868530E0,8.271362305E0
5.091247560E-1,-2.602005005E0,2.676712036E0,8.227066040E0
5.116271970E-1,-2.689392090E0,2.558212280E0,8.084014893E0
5.140991210E-1,-2.715133667E0,2.389419556E0,7.954727173E0
5.165710450E-1,-2.728897095E0,2.302627563E0,7.884704590E0
5.190734860E-1,-2.729492188E0,2.259521484E0,7.753021240E0
5.215454100E-1,-2.715728760E0,2.189498901E0,7.679992676E0
5.240173340E-1,-2.704360962E0,2.188308716E0,7.605178833E0
5.265197750E-1,-2.749847412E0,2.201477051E0,7.502227783E0
5.289916990E-1,-2.758224487E0,2.216430664E0,7.375335693E0
5.314941400E-1,-2.731887817E0,2.255340576E0,7.287353516E0
5.339660640E-1,-2.677429199E0,2.331359863E0,7.264602661E0
5.364379880E-1,-2.688796997E0,2.380432129E0,7.139511108E0
5.389404290E-1,-2.682205200E0,2.435501099E0,7.056304932E0
5.414123530E-1,-2.703155518E0,2.475601196E0,6.919235229E0
5.438842770E-1,-2.654083252E0,2.568374634E0,6.696578979E0
5.463867180E-1,-2.593032837E0,2.608489990E0,6.596023560E0
5.488586420E-1,-2.561904907E0,2.639007568E0,6.440399170E0
5.513305660E-1,-2.521194458E0,2.716217041E0,6.364379883E0
5.538330070E-1,-2.452362061E0,2.778472900E0,6.336853027E0
5.563049310E-1,-2.370361328E0,2.823364258E0,6.299133301E0
5.588073730E-1,-2.306320190E0,2.835937500E0,6.294952393E0
5.612792970E-1,-2.244674683E0,2.805999756E0,6.274002075E0
5.637512200E-1,-2.170455933E0,2.854492188E0,6.181823730E0
5.662536620E-1,-2.114181519E0,2.795227051E0,6.104019165E0
5.687255860E-1,-2.087844849E0,2.648590088E0,6.035186768E0
5.712280270E-1,-2.033386230E0,2.528869629E0,5.862792969E0
5.736999510E-1,-2.048339844E0,2.477996826E0,5.808929443E0
5.761718750E-1,-2.111190796E0,2.498947144E0,5.814910889E0
5.786743160E-1,-2.194992065E0,2.503738403E0,5.875961304E0
5.811462400E-1,-2.226715088E0,2.437896729E0,5.866394043E0
5.836181640E-1,-2.358398438E0,2.498352051E0,6.058517456E0
5.861206050E-1,-2.611587524E0,2.649185181E0,6.184814453E0
5.885925290E-1,-2.565490723E0,2.450469971E0,6.280578613E0
5.910949700E-1,-2.544540405E0,2.378036499E0,6.454757690E0
5.935668940E-1,-2.536758423E0,2.187103271E0,6.792343140E0
5.960388180E-1,-2.542144775E0,2.075775146E0,7.095809937E0
5.985412590E-1,-2.435012817E0,2.008132935E0,7.342407227E0
6.010131830E-1,-2.471527100E0,1.944686890E0,7.451950073E0
6.034851070E-1,-2.348220825E0,1.813613892E0,7.620742798E0
6.059875480E-1,-2.272201538E0,1.799835205E0,7.723098755E0
6.084594720E-1,-2.157287598E0,1.711853027E0,7.717102051E0
6.109619140E-1,-2.039962769E0,1.619674683E0,7.582427979E0
6.134338380E-1,-1.835861206E0,1.476623535E0,7.507019043E0
6.159057610E-1,-1.661682129E0,1.418563843E0,7.379516602E0
6.184082030E-1,-1.504257202E0,1.334762573E0,7.292129517E0
6.208801270E-1,-1.388153076E0,1.117492676E0,7.239456177E0
6.233520500E-1,-1.248077393E0,1.093551636E0,7.081451416E0
6.258544920E-1,-1.102035522E0,9.762420654E-1,6.904281616E0
6.283264160E-1,-9.308471680E-1,8.684997559E-1,6.758819580E0
6.308288570E-1,-7.578735352E-1,7.589569092E-1,6.549331665E0
6.333007810E-1,-4.945068359E-1,7.505798340E-1,6.272796631E0
6.357727050E-1,-3.191375732E-1,6.949157715E-1,6.051940918E0
6.382751460E-1,-8.569335938E-2,6.997070312E-1,5.917861938E0
6.407470700E-1,1.016540527E-1,8.176269531E-1,5.807723999E0
6.432189940E-1,2.907867432E-1,8.230133057E-1,5.648513794E0
6.457214350E-1,4.583892822E-1,8.523406982E-1,5.482711792E0
6.481933590E-1,5.900573730E-1,8.972320557E-1,5.362411499E0
6.506652830E-1,7.355041504E-1,9.163818359E-1,5.290588379E0
6.531677240E-1,9.210662842E-1,9.205780029E-1,5.097854614E0
