"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.756652830E-1,-1.076904297E0,3.167526245E0,8.523956299E0
2.781677250E-1,-1.112213135E0,3.159149170E0,8.527542114E0
2.806396490E-1,-1.117599487E0,3.188476562E0,8.558670044E0
2.831115720E-1,-1.120590210E0,3.171127319E0,8.604751587E0
2.855834960E-1,-1.070312500E0,3.159149170E0,8.637084961E0
2.880859380E-1,-1.052352905E0,3.156158447E0,8.712493896E0
2.905578620E-1,-1.079895020E0,3.156753540E0,8.725067139E0
2.930603030E-1,-1.083480835E0,3.151962280E0,8.771148682E0
2.955322270E-1,-1.075698853E0,3.111862183E0,8.820236206E0
2.980041510E-1,-1.052963257E0,3.138198853E0,8.863922119E0
3.005065920E-1,-1.033203125E0,3.148971558E0,8.847763062E0
3.029785160E-1,-1.027816772E0,3.086120605E0,8.842376709E0
3.054504400E-1,-9.727478027E-1,3.063980103E0,8.815444946E0
3.079528810E-1,-1.008071899E0,3.064575195E0,8.776535034E0
3.104248050E-1,-9.942932129E-1,3.058593750E0,8.763977051E0
3.129272460E-1,-9.452209473E-1,3.069366455E0,8.758590698E0
3.153991700E-1,-9.613800049E-1,3.068771362E0,8.813049316E0
3.178710940E-1,-9.763488770E-1,3.073562622E0,8.833999634E0
3.203735350E-1,-9.829254150E-1,3.033447266E0,8.804672241E0
3.228454590E-1,-1.009857178E0,3.008911133E0,8.835205078E0
3.253173830E-1,-1.026016235E0,2.989166260E0,8.841781616E0
3.278198240E-1,-1.053558350E0,3.012512207E0,8.861541748E0
3.302917480E-1,-1.065521240E0,3.007720947E0,8.893859863E0
3.327941900E-1,-1.113403320E0,2.990951538E0,8.826217651E0
3.352661130E-1,-1.084075928E0,3.016098022E0,8.789108276E0
3.377380370E-1,-1.081085205E0,2.998733521E0,8.799285889E0
3.402404790E-1,-1.079299927E0,2.999938965E0,8.792098999E0
3.427124030E-1,-1.062530518E0,3.020294189E0,8.765167236E0
3.451843260E-1,-1.075698853E0,3.026275635E0,8.787918091E0
3.476867680E-1,-1.066726685E0,3.029861450E0,8.819030762E0
3.501586920E-1,-1.082885742E0,3.002334595E0,8.813644409E0
3.526611330E-1,-1.106231689E0,2.987365723E0,8.819030762E0
3.551330570E-1,-1.109817505E0,2.975402832E0,8.780731201E0
3.576049810E-1,-1.088867188E0,2.980789185E0,8.804672241E0
3.601074220E-1,-1.058349609E0,2.937088013E0,8.765762329E0
3.625793460E-1,-1.081085205E0,2.986175537E0,8.746612549E0
3.650817870E-1,-1.017639160E0,2.980789185E0,8.761581421E0
3.675537110E-1,-1.006271362E0,2.974792480E0,8.708908081E0
3.700256350E-1,-1.006866455E0,2.965225220E0,8.629302979E0
3.725280760E-1,-9.865112305E-1,2.974792480E0,8.610137939E0
3.750000000E-1,-9.877166748E-1,2.982574463E0,8.590988159E0
3.774719240E-1,-9.422302246E-1,2.955642700E0,8.595184326E0
3.799743650E-1,-9.524078369E-1,2.973602295E0,8.473068237E0
3.824462890E-1,-9.362335205E-1,2.956832886E0,8.456314087E0
3.849182130E-1,-8.781738281E-1,2.952056885E0,8.452133179E0
3.874206550E-1,-8.518371582E-1,2.971801758E0,8.459304810E0
3.898925780E-1,-8.638153076E-1,2.985565186E0,8.394073486E0
3.923950200E-1,-8.482513428E-1,2.996337891E0,8.375518799E0
3.948669440E-1,-8.219146729E-1,3.077743530E0,8.416809082E0
3.973388670E-1,-7.895965576E-1,3.036453247E0,8.328231812E0
3.998413090E-1,-8.261108398E-1,2.929901123E0,8.460510254E0
4.023132330E-1,-7.794189453E-1,2.899978638E0,8.494018555E0
4.047851560E-1,-7.997741699E-1,2.934097290E0,8.486846924E0
4.072875980E-1,-8.111419678E-1,2.896987915E0,8.553878784E0
4.097595220E-1,-9.081115723E-1,2.879623413E0,8.678375244E0
4.122619630E-1,-9.978942871E-1,2.843719482E0,8.752593994E0
4.147338870E-1,-9.033203125E-1,2.910156250E0,8.731643677E0
