"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.363464360E-1,-1.031756401E-1,-5.631499290E-1,1.717716217E0,1.810616486E0
5.413208010E-1,1.388977766E-1,-3.144874573E-1,1.821228027E0,1.853393234E0
5.462951660E-1,2.131043673E-1,-8.615016937E-2,1.878985405E0,1.892992730E0
5.512390140E-1,1.573463678E-1,-4.313859940E-1,1.588492393E0,1.653529510E0
5.562133790E-1,-3.543972969E-3,-9.330110550E-1,1.436853409E0,1.713204572E0
5.611877440E-1,-1.650148630E-1,-8.050947189E-1,1.314759254E0,1.550483573E0
5.661621100E-1,-1.023072004E-1,-6.231112480E-1,9.599876404E-1,1.149047719E0
5.711059570E-1,-5.673456192E-2,-6.533851624E-1,8.518514633E-1,1.075072973E0
5.760803230E-1,-1.359610558E-1,-7.626652718E-1,6.389398575E-1,1.004185176E0
5.810546880E-1,-2.337013483E-1,-7.817730904E-1,3.938703537E-1,9.060459925E-1
5.860290530E-1,-2.562332153E-1,-7.346863747E-1,2.850894928E-1,8.286709532E-1
5.909729010E-1,-2.606120110E-1,-5.857157707E-1,1.437578201E-1,6.569991592E-1
5.959472660E-1,-2.219254971E-1,-5.789990425E-1,3.353786469E-2,6.209795535E-1
6.009216310E-1,-2.802755833E-1,-7.838521004E-1,-1.034755707E-1,8.388597687E-1
6.058654790E-1,-3.773514032E-1,-7.316112518E-1,-2.504425049E-1,8.604478796E-1
6.108398440E-1,-3.751993179E-1,-6.246151924E-1,-3.520259857E-1,8.092224425E-1
6.158142090E-1,-2.858982086E-1,-5.347952843E-1,-4.145507812E-1,7.345720741E-1
6.207885750E-1,-3.607263565E-1,-5.155334473E-1,-4.448280334E-1,7.705648700E-1
6.257324220E-1,-3.551766872E-1,-4.882755280E-1,-3.957519531E-1,7.219301066E-1
6.307067870E-1,-1.851921082E-1,-2.663459778E-1,-2.411594391E-1,4.042204496E-1
6.356811530E-1,6.116616726E-2,-3.479337692E-2,-1.083774567E-1,1.292190087E-1
6.406555180E-1,2.865276337E-1,2.684354782E-2,7.176685333E-2,2.965959240E-1
6.455993660E-1,4.647959471E-1,6.503582001E-3,1.266450882E-1,4.817847521E-1
6.505737310E-1,6.189662218E-1,1.548433304E-2,1.303901672E-1,6.327405029E-1
6.555480960E-1,7.805982828E-1,5.710649490E-2,2.219486237E-2,7.829990056E-1
6.605224610E-1,9.879263639E-1,8.980035782E-2,-6.411743164E-2,9.940692380E-1
6.654663090E-1,1.280583501E0,1.756772995E-1,-1.827535629E-1,1.305433063E0
6.704406740E-1,1.592347980E0,3.004317284E-1,-3.386135101E-1,1.655442666E0
6.754150390E-1,1.914290071E0,4.359154701E-1,-4.799385071E-1,2.021106069E0
6.803894050E-1,2.081563234E0,4.178314209E-1,-5.647468567E-1,2.196913200E0
6.853332520E-1,2.198643208E0,3.070788383E-1,-7.592735291E-1,2.346236488E0
6.903076170E-1,2.273865223E0,2.051234245E-1,-9.680213928E-1,2.479839529E0
6.952819830E-1,2.259941339E0,1.175947189E-1,-1.264709473E0,2.592422309E0
7.002258300E-1,2.240653515E0,9.327793121E-2,-1.543251991E0,2.722288680E0
7.052001960E-1,2.227233887E0,1.253147125E-1,-1.693271637E0,2.800614825E0
7.101745610E-1,2.207857609E0,2.566623688E-2,-1.833647728E0,2.870114626E0
7.151489260E-1,2.150869370E0,-2.585778236E-1,-2.000846863E0,2.948981130E0
7.200927740E-1,2.053108931E0,-3.304877281E-1,-2.114627838E0,2.965826919E0
7.250671390E-1,1.874069929E0,-3.944077492E-1,-2.256624222E0,2.959737902E0
7.300415040E-1,1.532511353E0,-3.902339935E-1,-2.409149170E0,2.881817715E0
7.350158690E-1,1.074452400E0,-1.466846466E-1,-2.578474998E0,2.797230356E0
7.399597170E-1,7.410762310E-1,-8.913707733E-2,-2.616070747E0,2.720471568E0
7.449340820E-1,6.051000357E-1,-1.060700417E-1,-2.523186684E0,2.596895829E0
7.499084480E-1,4.301586151E-1,-7.252788544E-2,-2.362672806E0,2.402606817E0
7.548828130E-1,3.704988956E-1,-4.386949539E-2,-2.136300087E0,2.168633677E0
7.598266600E-1,3.200364113E-1,-7.911729813E-2,-2.002009392E0,2.028971280E0
7.648010260E-1,2.343804836E-1,-9.675884247E-2,-1.842383385E0,1.859750795E0
7.697753910E-1,2.576565742E-2,-1.644968987E-1,-1.678013802E0,1.686254256E0
7.747497560E-1,-1.539604664E-1,-1.167879105E-1,-1.455689430E0,1.468460064E0
7.796936040E-1,-3.058271408E-1,3.807020187E-2,-1.153722763E0,1.194175780E0
7.846679690E-1,-3.634632826E-1,1.178846359E-1,-7.685890198E-1,8.583306044E-1
7.896423340E-1,-4.530402422E-1,-2.306604385E-2,-4.178495407E-1,6.167460921E-1
7.946167000E-1,-5.858167410E-1,-2.575221062E-1,-1.114234924E-1,6.495491389E-1
7.995605470E-1,-7.133200169E-1,-3.536710739E-1,1.626768112E-1,8.126330167E-1
8.045349120E-1,-8.494144678E-1,-3.862009048E-1,3.837289810E-1,1.008912290E0
8.095092780E-1,-8.376427889E-1,-3.227882385E-1,4.606027603E-1,1.008956189E0
8.144531250E-1,-8.770668507E-1,-5.714612007E-1,4.959840775E-1,1.158367113E0
8.194274910E-1,-9.447365999E-1,-6.883745193E-1,4.443769455E-1,1.250542919E0
8.244018560E-1,-8.589791059E-1,-6.131114960E-1,5.179624557E-1,1.175600237E0
8.293762210E-1,-6.821506023E-1,-5.537176132E-1,4.752473831E-1,9.988957476E-1
8.343200690E-1,-4.881482124E-1,-5.546712875E-1,4.652557373E-1,8.731619641E-1
8.392944340E-1,-2.977893353E-1,-5.305895805E-1,4.484109879E-1,7.558281585E-1
8.442687990E-1,-1.012545824E-1,-4.810385704E-1,4.545736313E-1,6.695429657E-1
