"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.756347650E-1,-7.594299316E-2,5.778503418E-2,-2.807617188E-2
2.781066890E-1,-7.807922363E-2,6.631469727E-2,-2.593994141E-2
2.806091310E-1,-8.126831055E-2,7.164001465E-2,-2.700805664E-2
2.830810550E-1,-8.659362793E-2,7.376098633E-2,-2.700805664E-2
2.855529780E-1,-8.552551270E-2,7.803344727E-2,-2.593994141E-2
2.880554200E-1,-8.766174316E-2,9.080505371E-2,-2.593994141E-2
2.905273440E-1,-8.872985840E-2,9.187316895E-2,-2.914428711E-2
2.929992670E-1,-8.872985840E-2,9.294128418E-2,-2.593994141E-2
2.955017090E-1,-9.298706055E-2,9.933471680E-2,-2.381896973E-2
2.979736330E-1,-8.766174316E-2,1.035919189E-1,-2.381896973E-2
3.004760740E-1,-8.766174316E-2,1.046600342E-1,-2.061462402E-2
3.029479980E-1,-8.659362793E-2,1.067962646E-1,-1.635742188E-2
3.054199220E-1,-8.552551270E-2,1.067962646E-1,-1.849365234E-2
3.079223630E-1,-8.872985840E-2,1.089172363E-1,-1.423645020E-2
3.103942870E-1,-9.085083008E-2,1.025238037E-1,-8.895874023E-3
3.128662110E-1,-8.978271484E-2,1.014709473E-1,-5.706787109E-3
3.153686520E-1,-8.978271484E-2,9.614562988E-2,-3.570556641E-3
3.178405760E-1,-9.085083008E-2,8.761596680E-2,-4.638671875E-3
3.203430170E-1,-9.085083008E-2,8.122253418E-2,-6.774902344E-3
3.228149410E-1,-9.405517578E-2,7.696533203E-2,1.754760742E-3
3.252868650E-1,-9.512329102E-2,6.843566895E-2,1.754760742E-3
3.277893060E-1,-9.512329102E-2,5.671691895E-2,6.011962891E-3
3.302612300E-1,-9.405517578E-2,4.499816895E-2,9.201049805E-3
3.327636720E-1,-9.831237793E-2,4.180908203E-2,7.080078125E-3
3.352355960E-1,-1.025695801E-1,3.541564941E-2,9.201049805E-3
3.377075190E-1,-1.047058105E-1,2.476501465E-2,1.133728027E-2
3.402099610E-1,-1.068420410E-1,1.943969727E-2,1.133728027E-2
3.426818850E-1,-1.121673584E-1,1.518249512E-2,7.080078125E-3
