"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.346008300E-1,-2.080383301E-1,-3.012084961E-1,1.199951172E-1
4.370727540E-1,-2.080383301E-1,-2.724456787E-1,1.317138672E-1
4.395751960E-1,-2.048339844E-1,-2.490081787E-1,1.391754150E-1
4.420471190E-1,-1.984405518E-1,-2.255706787E-1,1.476898193E-1
4.445495610E-1,-1.909942627E-1,-2.032012939E-1,1.604766846E-1
4.470214850E-1,-1.813964844E-1,-1.776275635E-1,1.689910889E-1
4.494934090E-1,-1.707458496E-1,-1.584625244E-1,1.817779541E-1
4.519653320E-1,-1.558380127E-1,-1.360931396E-1,1.956329346E-1
4.544677740E-1,-1.409301758E-1,-1.201171875E-1,2.073516846E-1
4.569396980E-1,-1.228179932E-1,-9.773254395E-2,2.201232910E-1
4.594421390E-1,-1.047058105E-1,-7.856750488E-2,2.361145020E-1
4.619140630E-1,-8.872985840E-2,-6.471252441E-2,2.478332520E-1
4.643859870E-1,-6.954956055E-2,-5.299377441E-2,2.606048584E-1
4.668884280E-1,-5.357360840E-2,-4.341125488E-2,2.776489258E-1
4.693603520E-1,-3.120422363E-2,-2.743530273E-2,2.925720215E-1
4.718322760E-1,-1.416015625E-2,-1.464843750E-2,3.085479736E-1
4.743347170E-1,7.156372070E-3,-1.464843750E-2,3.245239258E-1
4.768066410E-1,2.206420898E-2,-1.145935059E-2,3.458251953E-1
4.793090820E-1,3.271484375E-2,-1.145935059E-2,3.660736084E-1
4.817810060E-1,4.656982422E-2,-1.890563965E-2,3.905639648E-1
4.842529300E-1,5.082702637E-2,-2.955627441E-2,4.150695801E-1
4.867553710E-1,4.869079590E-2,-4.660034180E-2,4.417114258E-1
4.892272950E-1,4.550170898E-2,-6.898498535E-2,4.683380127E-1
4.916992190E-1,4.124450684E-2,-9.454345703E-2,4.907073975E-1
4.942016600E-1,3.164672852E-2,-1.211700439E-1,5.162658691E-1
4.966735840E-1,1.780700684E-2,-1.573944092E-1,5.365142822E-1
4.991760260E-1,7.156372070E-3,-1.925506592E-1,5.578155518E-1
5.016479500E-1,-1.416015625E-2,-2.255706787E-1,5.833892822E-1
5.041198730E-1,-3.546142578E-2,-2.607269287E-1,6.036224365E-1
5.066223150E-1,-6.422424316E-2,-2.958831787E-1,6.174774170E-1
5.090942390E-1,-8.978271484E-2,-3.384857178E-1,6.398468018E-1
5.115661620E-1,-1.302642822E-1,-3.747100830E-1,6.643371582E-1
5.140686040E-1,-1.782073975E-1,-4.034729004E-1,6.867218018E-1
5.165405280E-1,-2.293395996E-1,-4.386291504E-1,7.058868408E-1
5.190124510E-1,-2.900543213E-1,-4.748382568E-1,7.261352539E-1
5.215148930E-1,-3.529052734E-1,-5.121307373E-1,7.410430908E-1
5.239868170E-1,-4.178924561E-1,-5.440826416E-1,7.580871582E-1
5.264892580E-1,-4.807434082E-1,-5.792388916E-1,7.719421387E-1
5.289611820E-1,-5.457305908E-1,-6.229095459E-1,7.793884277E-1
5.314331060E-1,-6.075134277E-1,-6.676635742E-1,7.868499756E-1
5.339355470E-1,-6.714172363E-1,-7.124023438E-1,7.943115234E-1
5.364074710E-1,-7.438659668E-1,-7.571411133E-1,7.996368408E-1
5.389099120E-1,-8.162994385E-1,-8.050689697E-1,7.996368408E-1
5.413818360E-1,-8.919372559E-1,-8.476867676E-1,7.985687256E-1
5.438537600E-1,-9.718322754E-1,-8.902893066E-1,7.964324951E-1
5.463562010E-1,-1.046401978E0,-9.339752197E-1,7.964324951E-1
5.488281250E-1,-1.120971680E0,-9.872283936E-1,7.953796387E-1
5.513000490E-1,-1.191268921E0,-1.049026489E0,8.017578125E-1
5.538024910E-1,-1.246673584E0,-1.104415894E0,8.113555908E-1
