"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.966430660E-1,-6.241863966E-1,-3.200728893E-1,-3.905334473E-1,8.028522190E-1
5.016174310E-1,-7.112759352E-1,-5.571985245E-1,-2.951669693E-1,9.505299529E-1
5.065612790E-1,-9.346706867E-1,-3.005542755E-1,-6.483469009E-1,1.176561035E0
5.115356440E-1,-1.012909532E0,-5.846047401E-2,-7.728490829E-1,1.275421127E0
5.165100090E-1,-1.052411437E0,-2.316386700E-1,-7.284479141E-1,1.300716214E0
5.214538570E-1,-1.092826247E0,-4.834668636E-1,-4.598331451E-1,1.280412409E0
5.264282220E-1,-1.105903029E0,-4.633152485E-1,-2.958021164E-1,1.234982357E0
5.314025880E-1,-1.118742824E0,-2.836167812E-1,-3.586044312E-1,1.208561592E0
5.363769530E-1,-9.766380787E-1,-1.838750839E-1,-5.137338638E-1,1.118728951E0
5.413513180E-1,-7.374017239E-1,-1.764347553E-1,-6.242990494E-1,9.821607955E-1
5.462951660E-1,-8.084928989E-1,-1.268610954E-1,-3.827133179E-1,9.034511547E-1
5.512695310E-1,-9.480350018E-1,4.685759544E-2,-1.534433365E-1,9.615148758E-1
5.562438960E-1,-1.087435007E0,1.843616962E-1,-3.889226913E-1,1.169514852E0
5.612182610E-1,-1.099984884E0,4.170436859E-1,-6.837167740E-1,1.360647202E0
5.661621090E-1,-9.740562439E-1,4.831509590E-1,-9.085569382E-1,1.416931941E0
5.711364740E-1,-8.678314686E-1,3.761162758E-1,-9.605245590E-1,1.348036475E0
5.761108390E-1,-8.578948975E-1,2.698056698E-1,-8.696908951E-1,1.251055957E0
5.810546870E-1,-9.674911499E-1,2.683973312E-1,-9.831829071E-1,1.405249046E0
5.860290520E-1,-1.168418884E0,3.689255714E-1,-1.106454849E0,1.650924317E0
5.910034180E-1,-1.370470047E0,3.472273350E-1,-1.059900284E0,1.766958852E0
5.959777830E-1,-1.497453928E0,3.983952999E-1,-9.174299240E-1,1.800767821E0
6.009216310E-1,-1.658782244E0,5.284819603E-1,-6.726760864E-1,1.866372104E0
6.058959960E-1,-1.825187206E0,7.406425476E-1,-5.927457809E-1,2.056989859E0
6.108703610E-1,-2.031146049E0,9.621694088E-1,-7.322149277E-1,2.363781493E0
6.158447260E-1,-2.217522383E0,8.302681446E-1,-6.523189545E-1,2.456068144E0
6.207885740E-1,-2.133311272E0,4.039638042E-1,-9.057035446E-1,2.352552369E0
6.257629390E-1,-1.871886730E0,-1.895952225E-1,-1.497389793E0,2.404596114E0
6.307373040E-1,-2.222050190E0,-5.442814827E-1,-2.089856148E0,3.098588081E0
6.357116700E-1,-2.495087385E0,-6.831049919E-1,-2.617267609E0,3.679970547E0
6.406555170E-1,-2.740686178E0,-5.885641575E-1,-3.088352203E0,4.170813809E0
6.456298820E-1,-2.870080709E0,-4.788138866E-1,-3.366784096E0,4.449928220E0
6.506042480E-1,-2.870254040E0,-5.270984173E-1,-3.667944908E0,4.687217815E0
6.555786130E-1,-2.755906105E0,-7.859251499E-1,-3.869124413E0,4.814854154E0
6.605224610E-1,-2.690904617E0,-9.011096954E-1,-4.021238327E0,4.921719621E0
6.654968260E-1,-2.572987318E0,-1.049794197E0,-4.260613441E0,5.086763066E0
6.704711910E-1,-2.528401613E0,-1.075414181E0,-4.584706306E0,5.344984780E0
6.754455560E-1,-2.557149172E0,-9.778544903E-1,-5.021024704E0,5.718907271E0
6.803894040E-1,-2.606669426E0,-9.139487743E-1,-5.287954330E0,5.965944088E0
6.853637690E-1,-2.742607117E0,-1.017392874E0,-5.317805290E0,6.069269739E0
6.903381340E-1,-2.947934389E0,-1.272358179E0,-5.436727524E0,6.314049308E0
6.953125000E-1,-3.583581209E0,-2.234530926E0,-4.981728554E0,6.530911278E0
7.002563470E-1,-3.686363459E0,-2.179939747E0,-5.251803398E0,6.776640154E0
7.052307130E-1,-3.942546368E0,-2.245324612E0,-5.357698441E0,7.020689927E0
7.102050780E-1,-4.192569733E0,-2.590781450E0,-5.062551498E0,7.065353293E0
7.151794430E-1,-4.427878380E0,-2.695623636E0,-4.918642998E0,7.146015860E0
7.201232910E-1,-4.785824776E0,-2.829889774E0,-4.905696869E0,7.414732408E0
7.250976560E-1,-5.148833275E0,-3.002986670E0,-5.038364410E0,7.804711972E0
7.300720210E-1,-5.535409927E0,-3.031660318E0,-5.786098480E0,8.562164620E0
7.350463860E-1,-5.209525585E0,-3.346519232E0,-5.658415794E0,8.387849372E0
7.399902340E-1,-5.430850029E0,-3.637223959E0,-5.176665306E0,8.337949020E0
7.449645990E-1,-5.737257957E0,-3.626368046E0,-5.004342556E0,8.432681572E0
7.499389640E-1,-5.768633842E0,-3.855337381E0,-4.939690590E0,8.517118401E0
7.549133300E-1,-5.560470581E0,-4.088335037E0,-4.903874874E0,8.466481279E0
7.598571770E-1,-5.002344131E0,-4.311910629E0,-5.019231319E0,8.295101152E0
7.648315430E-1,-4.823982716E0,-4.278515816E0,-4.931176662E0,8.117450961E0
7.698059080E-1,-4.546562195E0,-4.265513897E0,-5.085948944E0,8.045664252E0
7.747802730E-1,-4.315276146E0,-4.423639297E0,-5.563753128E0,8.315379830E0
7.797241210E-1,-4.367184162E0,-4.698038578E0,-5.640446663E0,8.541574945E0
7.846984860E-1,-4.379871845E0,-5.024225235E0,-5.618601799E0,8.717499800E0
