"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
2.433471680E-1,4.992675781E-2,1.986694336E-2,1.443481445E-2,5.563937861E-2
2.458190920E-1,4.779052734E-2,2.305603027E-2,1.231384277E-2,5.447151329E-2
2.483215340E-1,4.353332520E-2,2.305603027E-2,1.443481445E-2,5.133317449E-2
2.507934570E-1,4.246520996E-2,2.093505859E-2,9.109497070E-3,4.821362538E-2
2.532958990E-1,4.141235352E-2,1.773071289E-2,8.056640625E-3,4.576320205E-2
2.557678230E-1,3.713989258E-2,1.240539551E-2,5.920410156E-3,3.960197867E-2
2.582397470E-1,3.820800781E-2,9.216308594E-3,4.852294922E-3,3.960223442E-2
2.607421880E-1,4.034423828E-2,9.216308594E-3,1.663208008E-3,4.141695507E-2
2.632141120E-1,3.501892090E-2,1.667785645E-2,1.663208008E-3,3.882321441E-2
2.656860360E-1,3.713989258E-2,1.560974121E-2,1.663208008E-3,4.032123389E-2
2.681579590E-1,3.713989258E-2,1.240539551E-2,3.784179688E-3,3.933936291E-2
2.706604010E-1,3.181457520E-2,1.560974121E-2,1.663208008E-3,3.547671738E-2
2.731628420E-1,3.181457520E-2,2.519226074E-2,-4.730224609E-4,4.058375225E-2
2.756347660E-1,3.288269043E-2,2.838134766E-2,5.950927734E-4,4.344106767E-2
2.781066900E-1,3.713989258E-2,2.626037598E-2,-1.541137695E-3,4.551213105E-2
2.806091310E-1,3.395080566E-2,3.477478027E-2,-4.730224609E-4,4.860212237E-2
2.830810550E-1,3.501892090E-2,3.904724121E-2,-1.541137695E-3,5.247272599E-2
2.855529790E-1,3.607177734E-2,4.223632812E-2,-4.730224609E-3,5.574455632E-2
2.880249030E-1,3.927612305E-2,4.330444336E-2,-2.609252930E-3,5.852090957E-2
2.905273440E-1,3.927612305E-2,4.756164551E-2,-2.609252930E-3,6.173760739E-2
2.929992680E-1,3.713989258E-2,4.223632812E-2,-2.609252930E-3,5.630352773E-2
2.955017090E-1,3.607177734E-2,4.437255859E-2,-1.541137695E-3,5.720552580E-2
2.979736330E-1,3.820800781E-2,4.649353027E-2,-3.662109375E-3,6.029022527E-2
3.004760750E-1,3.820800781E-2,4.437255859E-2,-4.730224609E-3,5.874649642E-2
3.029479990E-1,3.607177734E-2,4.649353027E-2,-2.609252930E-3,5.890356253E-2
3.054199220E-1,3.288269043E-2,5.288696289E-2,-5.798339844E-3,6.254536688E-2
3.078918460E-1,3.501892090E-2,5.181884766E-2,-7.934570312E-3,6.304343899E-2
3.103942880E-1,3.501892090E-2,4.969787598E-2,-8.987426758E-3,6.145711950E-2
3.128967290E-1,3.501892090E-2,5.076599121E-2,-1.005554199E-2,6.248699552E-2
3.153686530E-1,3.607177734E-2,5.288696289E-2,-8.987426758E-3,6.464501376E-2
3.178405770E-1,3.395080566E-2,4.756164551E-2,-8.987426758E-3,5.912310182E-2
3.203430180E-1,3.288269043E-2,4.649353027E-2,-8.987426758E-3,5.765148330E-2
3.228149420E-1,3.607177734E-2,4.969787598E-2,-1.112365723E-2,6.240823461E-2
3.252868660E-1,3.713989258E-2,4.862976074E-2,-1.219177246E-2,6.239282464E-2
3.277587900E-1,3.713989258E-2,5.288696289E-2,-1.325988770E-2,6.597141113E-2
3.302612310E-1,4.034423828E-2,5.714416504E-2,-1.325988770E-2,7.119647310E-2
3.327331550E-1,4.460144043E-2,6.141662598E-2,-8.987426758E-3,7.643339764E-2
3.352355960E-1,4.566955566E-2,7.099914551E-2,-6.866455078E-3,8.469790542E-2
3.377075200E-1,4.673767090E-2,7.525634766E-2,-7.934570312E-3,8.894315685E-2
3.402099610E-1,4.460144043E-2,7.951354980E-2,-7.934570312E-3,9.151311653E-2
3.426818850E-1,4.460144043E-2,8.485412598E-2,-8.987426758E-3,9.628231937E-2
3.451538090E-1,4.460144043E-2,8.911132812E-2,-6.866455078E-3,9.988626279E-2
3.476257330E-1,4.566955566E-2,9.017944336E-2,-6.866455078E-3,1.013172667E-1
3.501281740E-1,4.460144043E-2,9.657287598E-2,-6.866455078E-3,1.065962338E-1
3.526000980E-1,4.141235352E-2,9.550476074E-2,-7.934570312E-3,1.043987536E-1
3.551025400E-1,3.927612305E-2,9.657287598E-2,-8.987426758E-3,1.046408527E-1
3.575744630E-1,4.034423828E-2,9.550476074E-2,-1.219177246E-2,1.043908818E-1
3.600769050E-1,3.607177734E-2,9.550476074E-2,-1.432800293E-2,1.030903687E-1
3.625488290E-1,3.288269043E-2,9.550476074E-2,-1.858520508E-2,1.027026801E-1
3.650207520E-1,2.969360352E-2,9.657287598E-2,-2.603149414E-2,1.043344102E-1
3.674926760E-1,2.862548828E-2,9.869384766E-2,-2.816772461E-2,1.065519350E-1
3.699951180E-1,2.436828613E-2,9.869384766E-2,-2.923583984E-2,1.057781795E-1
3.724670410E-1,1.902770996E-2,9.976196289E-2,-3.137207031E-2,1.062953893E-1
3.749694830E-1,1.264953613E-2,1.072235107E-1,-3.349304199E-2,1.130428055E-1
3.774414070E-1,4.119873047E-3,1.104125977E-1,-3.349304199E-2,1.154543154E-1
3.799133310E-1,-3.341674805E-3,1.050872803E-1,-3.349304199E-2,1.103462148E-1
3.824157720E-1,-1.078796387E-2,1.029510498E-1,-3.669738770E-2,1.098271236E-1
3.848876960E-1,-1.611328125E-2,1.061553955E-1,-3.456115723E-2,1.127966286E-1
3.873596200E-1,-2.250671387E-2,1.008300781E-1,-3.137207031E-2,1.079697347E-1
3.898620610E-1,-2.571105957E-2,9.869384766E-2,-3.137207031E-2,1.067039875E-1
3.923339850E-1,-2.783203125E-2,9.869384766E-2,-3.137207031E-2,1.072348093E-1
3.948364260E-1,-3.103637695E-2,9.443664551E-2,-3.137207031E-2,1.042388771E-1
3.973083500E-1,-3.210449219E-2,9.230041504E-2,-2.709960938E-2,1.014122964E-1
3.998107910E-1,-3.422546387E-2,9.657287598E-2,-3.030395508E-2,1.068458349E-1
4.022827150E-1,-3.742980957E-2,9.762573242E-2,-2.709960938E-2,1.080100139E-1
4.047546390E-1,-4.168701172E-2,9.657287598E-2,-2.391052246E-2,1.078695527E-1
4.072265630E-1,-4.275512695E-2,9.869384766E-2,-2.070617676E-2,1.095318319E-1
4.097290040E-1,-4.594421387E-2,1.018981934E-1,-1.538085938E-2,1.128303303E-1
4.122009280E-1,-4.594421387E-2,1.018981934E-1,-1.005554199E-2,1.122284568E-1
4.147033700E-1,-3.955078125E-2,1.072235107E-1,-5.798339844E-3,1.144323656E-1
4.171752930E-1,-4.382324219E-2,1.136169434E-1,-4.730224609E-4,1.217764761E-1
4.196472170E-1,-4.061889648E-2,1.157379150E-1,5.920410156E-3,1.228015105E-1
4.221496590E-1,-4.061889648E-2,1.189422607E-1,1.338195801E-2,1.263971239E-1
4.246215820E-1,-4.275512695E-2,1.221313477E-1,1.657104492E-2,1.304556112E-1
4.270935060E-1,-4.701232910E-2,1.306610107E-1,2.189636230E-2,1.405770589E-1
4.295959480E-1,-4.487609863E-2,1.391754150E-1,2.296447754E-2,1.480237400E-1
4.320678720E-1,-4.914855957E-2,1.487579346E-1,2.935791016E-2,1.593938233E-1
4.345703130E-1,-5.873107910E-2,1.615447998E-1,2.935791016E-2,1.743787512E-1
4.370422370E-1,-6.724548340E-2,1.732635498E-1,3.042602539E-2,1.883293810E-1
4.395141610E-1,-7.257080078E-2,1.828460693E-1,3.042602539E-2,1.990601648E-1
4.420166020E-1,-7.257080078E-2,1.998901367E-1,2.615356445E-2,2.142582480E-1
4.444885260E-1,-7.257080078E-2,2.116088867E-1,3.042602539E-2,2.257666607E-1
4.469604500E-1,-7.896423340E-2,2.286529541E-1,3.254699707E-2,2.440836549E-1
4.494628910E-1,-9.281921387E-2,2.446441650E-1,3.787231445E-2,2.643870007E-1
4.519348150E-1,-1.098632812E-1,2.563476562E-1,3.681945801E-2,2.813178521E-1
4.544372560E-1,-1.226501465E-1,2.648773193E-1,3.254699707E-2,2.937045450E-1
4.569091800E-1,-1.311645508E-1,2.691345215E-1,2.828979492E-2,3.007288522E-1
4.593811040E-1,-1.450195312E-1,2.691345215E-1,2.828979492E-2,3.070250276E-1
4.618835450E-1,-1.556701660E-1,2.648773193E-1,2.189636230E-2,3.080140347E-1
4.643554690E-1,-1.673889160E-1,2.552947998E-1,1.338195801E-2,3.055708769E-1
4.668273930E-1,-1.886901855E-1,2.456970215E-1,1.124572754E-2,3.099959336E-1
4.693298340E-1,-1.982727051E-1,2.382507324E-1,1.657104492E-2,3.104030873E-1
4.718017580E-1,-2.153167725E-1,2.254638672E-1,1.550292969E-2,3.121467744E-1
4.743042000E-1,-2.281036377E-1,2.084197998E-1,1.870727539E-2,3.095481298E-1
4.767761240E-1,-2.408905029E-1,1.945648193E-1,2.082824707E-2,3.103506391E-1
4.792480470E-1,-2.547454834E-1,1.828460693E-1,2.296447754E-2,3.144126486E-1
4.817504890E-1,-2.685852051E-1,1.743316650E-1,2.615356445E-2,3.212686582E-1
4.842224130E-1,-2.813720703E-1,1.647491455E-1,2.935791016E-2,3.273750293E-1
4.866943360E-1,-2.952117920E-1,1.551513672E-1,3.361511230E-2,3.351893862E-1
4.891967780E-1,-3.112030029E-1,1.445007324E-1,4.107666016E-2,3.455648459E-1
4.916687020E-1,-3.261108398E-1,1.391754150E-1,4.319763184E-2,3.571891815E-1
4.941711430E-1,-3.410186768E-1,1.359863281E-1,4.852294922E-2,3.703248519E-1
4.966430670E-1,-3.559417725E-1,1.295928955E-1,5.172729492E-2,3.823147617E-1
4.991149910E-1,-3.655242920E-1,1.253204346E-1,5.172729492E-2,3.898575796E-1
5.016174320E-1,-3.687286377E-1,1.285247803E-1,5.279541016E-2,3.940390624E-1
5.040893560E-1,-3.783111572E-1,1.295928955E-1,5.279541016E-2,4.033621271E-1
5.065612800E-1,-3.910980225E-1,1.317138672E-1,5.386352539E-2,4.161820339E-1
5.090637210E-1,-4.006805420E-1,1.370391846E-1,5.705261230E-2,4.272933833E-1
5.115356450E-1,-4.113311768E-1,1.434326172E-1,5.812072754E-2,4.394818217E-1
5.140380860E-1,-4.241180420E-1,1.530303955E-1,5.705261230E-2,4.544770798E-1
5.165100100E-1,-4.347686768E-1,1.583557129E-1,6.451416016E-2,4.671856279E-1
5.189819340E-1,-4.475555420E-1,1.604766846E-1,7.623291016E-2,4.815290085E-1
5.214843750E-1,-4.624633789E-1,1.636810303E-1,8.049011230E-2,4.971343025E-1
5.239562990E-1,-4.837646484E-1,1.658020020E-1,8.367919922E-2,5.181898757E-1
5.264282230E-1,-4.986877441E-1,1.732635498E-1,8.474731445E-2,5.346885366E-1
5.289306650E-1,-5.189208984E-1,1.871185303E-1,7.623291016E-2,5.568695537E-1
5.314025880E-1,-5.402221680E-1,1.998901367E-1,7.090759277E-2,5.803653541E-1
5.339050300E-1,-5.540771484E-1,2.126770020E-1,6.451416016E-2,5.969883336E-1
5.363769540E-1,-5.700531006E-1,2.254638672E-1,5.705261230E-2,6.156699550E-1
5.388488770E-1,-5.870971680E-1,2.552947998E-1,3.894042969E-2,6.413851234E-1
5.413513190E-1,-5.924224854E-1,2.819213867E-1,2.082824707E-2,6.564128924E-1
